"TIME","GEO","SIEC","PLANT_TEC","UNIT","Value","Flag and Footnotes"
"2009","Latvia","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Lithuania","Hydro","Net maximum electrical capacity","Megawatt","876.000",""
"2009","Lithuania","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Lithuania","Wind","Net maximum electrical capacity","Megawatt","98.000",""
"2009","Lithuania","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Luxembourg","Hydro","Net maximum electrical capacity","Megawatt","1,134.192",""
"2009","Luxembourg","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Luxembourg","Wind","Net maximum electrical capacity","Megawatt","42.930",""
"2009","Luxembourg","Solar","Net maximum electrical capacity","Megawatt","26.357",""
"2009","Hungary","Hydro","Net maximum electrical capacity","Megawatt","53.000",""
"2009","Hungary","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Hungary","Wind","Net maximum electrical capacity","Megawatt","203.000",""
"2009","Hungary","Solar","Net maximum electrical capacity","Megawatt","1.000",""
"2009","Malta","Hydro","Net maximum electrical capacity","Megawatt",":",""
"2009","Malta","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Malta","Wind","Net maximum electrical capacity","Megawatt",":",""
"2009","Malta","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Netherlands","Hydro","Net maximum electrical capacity","Megawatt","37.000",""
"2009","Netherlands","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Netherlands","Wind","Net maximum electrical capacity","Megawatt","2,222.000",""
"2009","Netherlands","Solar","Net maximum electrical capacity","Megawatt","69.000",""
"2009","Austria","Hydro","Net maximum electrical capacity","Megawatt","12,630.430",""
"2009","Austria","Geothermal","Net maximum electrical capacity","Megawatt","0.915",""
"2009","Austria","Wind","Net maximum electrical capacity","Megawatt","1,000.985",""
"2009","Austria","Solar","Net maximum electrical capacity","Megawatt","48.915",""
"2009","Poland","Hydro","Net maximum electrical capacity","Megawatt","2,338.000",""
"2009","Poland","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Poland","Wind","Net maximum electrical capacity","Megawatt","709.000",""
"2009","Poland","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Portugal","Hydro","Net maximum electrical capacity","Megawatt","5,091.000",""
"2009","Portugal","Geothermal","Net maximum electrical capacity","Megawatt","25.000",""
"2009","Portugal","Wind","Net maximum electrical capacity","Megawatt","3,326.000",""
"2009","Portugal","Solar","Net maximum electrical capacity","Megawatt","115.000",""
"2009","Romania","Hydro","Net maximum electrical capacity","Megawatt","6,450.000",""
"2009","Romania","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Romania","Wind","Net maximum electrical capacity","Megawatt","15.000",""
"2009","Romania","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Slovenia","Hydro","Net maximum electrical capacity","Megawatt","1,070.000",""
"2009","Slovenia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Slovenia","Wind","Net maximum electrical capacity","Megawatt",":",""
"2009","Slovenia","Solar","Net maximum electrical capacity","Megawatt","4.000",""
"2009","Slovakia","Hydro","Net maximum electrical capacity","Megawatt","2,487.000",""
"2009","Slovakia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Slovakia","Wind","Net maximum electrical capacity","Megawatt","3.000",""
"2009","Slovakia","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Finland","Hydro","Net maximum electrical capacity","Megawatt","3,145.000",""
"2009","Finland","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Finland","Wind","Net maximum electrical capacity","Megawatt","147.000",""
"2009","Finland","Solar","Net maximum electrical capacity","Megawatt","6.000",""
"2009","Sweden","Hydro","Net maximum electrical capacity","Megawatt","16,652.000",""
"2009","Sweden","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Sweden","Wind","Net maximum electrical capacity","Megawatt","1,475.000",""
"2009","Sweden","Solar","Net maximum electrical capacity","Megawatt","9.000",""
"2009","United Kingdom","Hydro","Net maximum electrical capacity","Megawatt","4,384.000",""
"2009","United Kingdom","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","United Kingdom","Wind","Net maximum electrical capacity","Megawatt","4,422.000",""
"2009","United Kingdom","Solar","Net maximum electrical capacity","Megawatt","27.000",""
"2009","Iceland","Hydro","Net maximum electrical capacity","Megawatt","1,875.000",""
"2009","Iceland","Geothermal","Net maximum electrical capacity","Megawatt","575.000",""
"2009","Iceland","Wind","Net maximum electrical capacity","Megawatt",":",""
"2009","Iceland","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Norway","Hydro","Net maximum electrical capacity","Megawatt","29,539.000",""
"2009","Norway","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Norway","Wind","Net maximum electrical capacity","Megawatt","423.000",""
"2009","Norway","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Montenegro","Hydro","Net maximum electrical capacity","Megawatt","676.000",""
"2009","Montenegro","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Montenegro","Wind","Net maximum electrical capacity","Megawatt",":",""
"2009","Montenegro","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","North Macedonia","Hydro","Net maximum electrical capacity","Megawatt","553.000",""
"2009","North Macedonia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","North Macedonia","Wind","Net maximum electrical capacity","Megawatt",":",""
"2009","North Macedonia","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Albania","Hydro","Net maximum electrical capacity","Megawatt","1,459.000",""
"2009","Albania","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Albania","Wind","Net maximum electrical capacity","Megawatt",":",""
"2009","Albania","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Serbia","Hydro","Net maximum electrical capacity","Megawatt","2,888.879",""
"2009","Serbia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Serbia","Wind","Net maximum electrical capacity","Megawatt",":",""
"2009","Serbia","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Turkey","Hydro","Net maximum electrical capacity","Megawatt","14,553.000",""
"2009","Turkey","Geothermal","Net maximum electrical capacity","Megawatt","77.000",""
"2009","Turkey","Wind","Net maximum electrical capacity","Megawatt","792.000",""
"2009","Turkey","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Bosnia and Herzegovina","Hydro","Net maximum electrical capacity","Megawatt",":",""
"2009","Bosnia and Herzegovina","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Bosnia and Herzegovina","Wind","Net maximum electrical capacity","Megawatt",":",""
"2009","Bosnia and Herzegovina","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Hydro","Net maximum electrical capacity","Megawatt","40.000",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Wind","Net maximum electrical capacity","Megawatt",":",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Moldova","Hydro","Net maximum electrical capacity","Megawatt",":",""
"2009","Moldova","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Moldova","Wind","Net maximum electrical capacity","Megawatt",":",""
"2009","Moldova","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Ukraine","Hydro","Net maximum electrical capacity","Megawatt","5,421.000",""
"2009","Ukraine","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Ukraine","Wind","Net maximum electrical capacity","Megawatt","86.000",""
"2009","Ukraine","Solar","Net maximum electrical capacity","Megawatt",":",""
"2009","Georgia","Hydro","Net maximum electrical capacity","Megawatt",":",""
"2009","Georgia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2009","Georgia","Wind","Net maximum electrical capacity","Megawatt",":",""
"2009","Georgia","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","European Union - 27 countries (from 2020)","Hydro","Net maximum electrical capacity","Megawatt","143,113.355",""
"2010","European Union - 27 countries (from 2020)","Geothermal","Net maximum electrical capacity","Megawatt","760.915",""
"2010","European Union - 27 countries (from 2020)","Wind","Net maximum electrical capacity","Megawatt","78,937.009",""
"2010","European Union - 27 countries (from 2020)","Solar","Net maximum electrical capacity","Megawatt","30,616.757",""
"2010","European Union - 28 countries (2013-2020)","Hydro","Net maximum electrical capacity","Megawatt","147,504.355",""
"2010","European Union - 28 countries (2013-2020)","Geothermal","Net maximum electrical capacity","Megawatt","760.915",""
"2010","European Union - 28 countries (2013-2020)","Wind","Net maximum electrical capacity","Megawatt","84,358.241",""
"2010","European Union - 28 countries (2013-2020)","Solar","Net maximum electrical capacity","Megawatt","30,711.757",""
"2010","Euro area - 19 countries  (from 2015)","Hydro","Net maximum electrical capacity","Megawatt","110,130.156",""
"2010","Euro area - 19 countries  (from 2015)","Geothermal","Net maximum electrical capacity","Megawatt","760.915",""
"2010","Euro area - 19 countries  (from 2015)","Wind","Net maximum electrical capacity","Megawatt","70,548.180",""
"2010","Euro area - 19 countries  (from 2015)","Solar","Net maximum electrical capacity","Megawatt","28,844.757",""
"2010","Belgium","Hydro","Net maximum electrical capacity","Megawatt","1,425.000",""
"2010","Belgium","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Belgium","Wind","Net maximum electrical capacity","Megawatt","912.000",""
"2010","Belgium","Solar","Net maximum electrical capacity","Megawatt","1,007.000",""
"2010","Bulgaria","Hydro","Net maximum electrical capacity","Megawatt","3,048.000",""
"2010","Bulgaria","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Bulgaria","Wind","Net maximum electrical capacity","Megawatt","488.000",""
"2010","Bulgaria","Solar","Net maximum electrical capacity","Megawatt","25.000",""
"2010","Czechia","Hydro","Net maximum electrical capacity","Megawatt","2,196.000",""
"2010","Czechia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Czechia","Wind","Net maximum electrical capacity","Megawatt","213.000",""
"2010","Czechia","Solar","Net maximum electrical capacity","Megawatt","1,727.000",""
"2010","Denmark","Hydro","Net maximum electrical capacity","Megawatt","9.199",""
"2010","Denmark","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Denmark","Wind","Net maximum electrical capacity","Megawatt","3,801.829",""
"2010","Denmark","Solar","Net maximum electrical capacity","Megawatt","7.000",""
"2010","Germany (until 1990 former territory of the FRG)","Hydro","Net maximum electrical capacity","Megawatt","11,218.000",""
"2010","Germany (until 1990 former territory of the FRG)","Geothermal","Net maximum electrical capacity","Megawatt","7.000",""
"2010","Germany (until 1990 former territory of the FRG)","Wind","Net maximum electrical capacity","Megawatt","26,903.000",""
"2010","Germany (until 1990 former territory of the FRG)","Solar","Net maximum electrical capacity","Megawatt","18,006.000",""
"2010","Estonia","Hydro","Net maximum electrical capacity","Megawatt","6.000",""
"2010","Estonia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Estonia","Wind","Net maximum electrical capacity","Megawatt","108.000",""
"2010","Estonia","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Ireland","Hydro","Net maximum electrical capacity","Megawatt","237.000",""
"2010","Ireland","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Ireland","Wind","Net maximum electrical capacity","Megawatt","1,390.400",""
"2010","Ireland","Solar","Net maximum electrical capacity","Megawatt","0.693",""
"2010","Greece","Hydro","Net maximum electrical capacity","Megawatt","3,215.000",""
"2010","Greece","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Greece","Wind","Net maximum electrical capacity","Megawatt","1,298.000",""
"2010","Greece","Solar","Net maximum electrical capacity","Megawatt","202.000",""
"2010","Spain","Hydro","Net maximum electrical capacity","Megawatt","18,535.000",""
"2010","Spain","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Spain","Wind","Net maximum electrical capacity","Megawatt","20,693.000",""
"2010","Spain","Solar","Net maximum electrical capacity","Megawatt","4,605.000",""
"2010","France","Hydro","Net maximum electrical capacity","Megawatt","25,425.000",""
"2010","France","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","France","Wind","Net maximum electrical capacity","Megawatt","5,912.000",""
"2010","France","Solar","Net maximum electrical capacity","Megawatt","1,044.000",""
"2010","Croatia","Hydro","Net maximum electrical capacity","Megawatt","2,129.000",""
"2010","Croatia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Croatia","Wind","Net maximum electrical capacity","Megawatt","79.000",""
"2010","Croatia","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Italy","Hydro","Net maximum electrical capacity","Megawatt","21,520.000",""
"2010","Italy","Geothermal","Net maximum electrical capacity","Megawatt","728.000",""
"2010","Italy","Wind","Net maximum electrical capacity","Megawatt","5,794.000",""
"2010","Italy","Solar","Net maximum electrical capacity","Megawatt","3,592.000",""
"2010","Cyprus","Hydro","Net maximum electrical capacity","Megawatt",":",""
"2010","Cyprus","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Cyprus","Wind","Net maximum electrical capacity","Megawatt","82.225",""
"2010","Cyprus","Solar","Net maximum electrical capacity","Megawatt","7.000",""
"2010","Latvia","Hydro","Net maximum electrical capacity","Megawatt","1,576.000",""
"2010","Latvia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Latvia","Wind","Net maximum electrical capacity","Megawatt","30.000",""
"2010","Latvia","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Lithuania","Hydro","Net maximum electrical capacity","Megawatt","876.000",""
"2010","Lithuania","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Lithuania","Wind","Net maximum electrical capacity","Megawatt","133.000",""
"2010","Lithuania","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Luxembourg","Hydro","Net maximum electrical capacity","Megawatt","1,134.308",""
"2010","Luxembourg","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Luxembourg","Wind","Net maximum electrical capacity","Megawatt","43.727",""
"2010","Luxembourg","Solar","Net maximum electrical capacity","Megawatt","29.451",""
"2010","Hungary","Hydro","Net maximum electrical capacity","Megawatt","53.000",""
"2010","Hungary","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Hungary","Wind","Net maximum electrical capacity","Megawatt","293.000",""
